Type,Enum,Active,Description,Value1,Value2,Value3
0,ASSISTED_COMBAT_RULE_TYPE_SPELL_LEARNED,Y,if talent {spell} is taken,UNUSED,UNUSED,UNUSED
1,ASSISTED_COMBAT_RULE_TYPE_SPELL_ON_COOLDOWN,Y,if spell {arg1} is on cooldown,Spell,UNUSED,UNUSED
2,ASSISTED_COMBAT_RULE_TYPE_SPELL_OFF_COOLDOWN,Y,if spell {spell} is off cooldown,UNUSED,UNUSED,UNUSED
3,ASSISTED_COMBAT_RULE_TYPE_TARGET_DISTANCE_LESS,Y,if target is less than {arg1} yards away,Target Distance,UNUSED,UNUSED
4,ASSISTED_COMBAT_RULE_TYPE_TARGET_DISTANCE_GREATER,Y,if target is more than {arg1} yards away,Target Distance,UNUSED,UNUSED
5,ASSISTED_COMBAT_RULE_TYPE_HOSTILE_TARGET,Y,if target is hostile,UNUSED,UNUSED,UNUSED
6,ASSISTED_COMBAT_RULE_TYPE_FRIENDLY_TARGET,N,if target is friendly,UNUSED,UNUSED,UNUSED
7,ASSISTED_COMBAT_RULE_TYPE_HEALTH_PCT_GREATER,N,if target has more than {arg1}% health,Target Health %,UNUSED,UNUSED
8,ASSISTED_COMBAT_RULE_TYPE_HEALTH_PCT_LESS,Y,if target has less than {arg1}% health,Target Health %,UNUSED,UNUSED
9,ASSISTED_COMBAT_RULE_TYPE_AURA_ON_PLAYER,Y,if player has buff/debuff {arg1},Spell:Buff,UNUSED,UNUSED
10,ASSISTED_COMBAT_RULE_TYPE_AURA_ON_TARGET,Y,if target has buff/debuff {arg1},Spell:Buff,UNUSED,UNUSED
11,ASSISTED_COMBAT_RULE_TYPE_TARGET_COUNT_NEAR_TARGET_GREATER,Y,if there are more than {arg1} targets within {arg2} yards of target,Unit Count,Distance,UNUSED
12,ASSISTED_COMBAT_RULE_TYPE_TARGET_COUNT_NEAR_PLAYER_GREATER,Y,if there are more than {arg1} targets within {arg2} yards of player,Unit Count,Distance,UNUSED
13,ASSISTED_COMBAT_RULE_TYPE_AURA_COUNT_NEAR_PLAYER_GREATER,N,if there are more than {arg1} targets within {arg2} yards of player with buff/debuff {arg3},UNUSED,UNUSED,UNUSED
14,ASSISTED_COMBAT_RULE_TYPE_AFFORD_COST,Y,if player has resources to cast spell {spell},UNUSED,UNUSED,UNUSED
15,ASSISTED_COMBAT_RULE_TYPE_AURA_MISSING_TARGET,Y,if target does not have buff/debuff {arg1},Spell:Buff,UNUSED,UNUSED
16,ASSISTED_COMBAT_RULE_TYPE_AURA_MISSING_PLAYER,Y,if player does not have buff/debuff {arg1},Spell:Buff,UNUSED,UNUSED
17,ASSISTED_COMBAT_RULE_TYPE_AURA_DURATION_PLAYER,Y,if player has buff/debuff {arg1} with at least {arg2} ms left,Spell:Buff,Duration,UNUSED
18,ASSISTED_COMBAT_RULE_TYPE_AURA_DURATION_TARGET,Y,if target has buff/debuff {arg1} with at least {arg2} ms left,Spell:Buff,Duration,UNUSED
